Filename;Artist;Copyright;Completed
Jager.png;Jessica Turner;Jessica Turner;true
Drill Mole.png;Jessica Turner;Jessica Turner;true
Wind-Up Mouse.png;Jessica Turner;Jessica Turner;true
Magpie Drone.png;Jessica Turner;Jessica Turner;true
Insect Drone.png;Jessica Turner;Jessica Turner;true
Turtle.png;Jessica Turner;Jessica Turner;true
Wind-Up Snake.png;Jessica Turner;Jessica Turner;false
Wind-Up Cat.png;Jessica Turner;Jessica Turner;false
Wind-Up Dog.png;Jessica Turner;Jessica Turner;false
Wind-Up Bull.png;Jessica Turner;Jessica Turner;false
Wind-Up Koala.png;Jessica Turner;Jessica Turner;false
Wind-Up Kangaroo.png;Jessica Turner;Jessica Turner;false
Wind-Up Echidna.png;Jessica Turner;Jessica Turner;false
Wind-Up Spider.png;Jessica Turner;Jessica Turner;false
Wind-Up Monkey.png;Jessica Turner;Jessica Turner;false
Demolisher.png;Jessica Turner;Jessica Turner;false
Cruiser.png;Jessica Turner;Jessica Turner;false
Skipper.png;Jessica Turner;Jessica Turner;false
Stonewall.png;Jessica Turner;Jessica Turner;false
Mod Bot.png;Jessica Turner;Jessica Turner;false
Shortbow.png;Jessica Turner;Jessica Turner;false
Longbow.png;Jessica Turner;Jessica Turner;false
Turret.png;Jessica Turner;Jessica Turner;false
Bot-a-pult.png;Jessica Turner;Jessica Turner;false
Rampart.png;Jessica Turner;Jessica Turner;false
Wasp Drone.png;Jason Levine Jr.;Kayne Ruse;true
Virus.png;Jason Levine Jr.;Kayne Ruse;true
Mod Bot.png;Jason Levine Jr.;Kayne Ruse;true
Interdiction.png;Jason Levine Jr.;Kayne Ruse;true
Rocket Propulsion.png;Jason Levine Jr.;Kayne Ruse;true
